task_id,parent_id,phase,title,goal,owner_lane,owner_agent,helper_id,model_tag,agent_runtime,shell_mode,repo_target,repo_path,filesystem_scope,input_files,target_files,target_artifacts,allowed_paths,blocked_paths,depends_on,blocks,parallel_group,can_run_parallel,max_parallel,start_after,priority,status,execution_cell,required_tools,command_template,verification_command,completion_gate,proof_required,proof_uri,heartbeat_file,logs_uri,rollback_plan,risk_level,human_approval_required,notes
EF-001_SCAN_PACKAGE,,00-framework,Scan source package,Scan package folders and produce package_scan.json,lane_g_history_scan,framework-scan-agent,helper-scan-01,gpt-5.3-spark,python3,read-only,filesystem,..,package-root,README.md|PACKAGE_MANIFEST.json|specs/**|prompts/**|codex/**|schemas/**|examples/**|helpers/**|sql/**|source/**|expected-output/**|history/**,generated/package_scan.json,package scan,../**,**/.env|**/secrets/**|**/private_keys/**|**/*.pem|**/*.key,,EF-002_GAP_REPORT,framework_bootstrap,false,1,,10,pending,scan-package,python3,python3 scripts/scan_package.py,test -f generated/package_scan.json,package_scan.json exists,true,proof_records/EF-001_SCAN_PACKAGE.proof.json,state/EF-001_SCAN_PACKAGE.heartbeat.json,logs/EF-001_SCAN_PACKAGE.log,Use history/pre_execution_framework_manifest.json and remove only files added by this task unless a task-specific rollback is listed.,low,false,Preserves source manifest.
EF-002_GAP_REPORT,,00-framework,Generate execution gap report,Identify missing framework and verification pieces,lane_a_planning,framework-gap-agent,helper-gap-01,gpt-5.3-spark,python3,workspace-write,filesystem,..,package-root,generated/package_scan.json,generated/gap_report.json|docs/GAP_ANALYSIS.md,gap report,../**,**/.env|**/secrets/**|**/private_keys/**|**/*.pem|**/*.key,EF-001_SCAN_PACKAGE,EF-003_APPLY_FRAMEWORK,framework_bootstrap,false,1,,20,pending,gap-analysis,python3,python3 scripts/scan_package.py --gaps,test -f generated/gap_report.json && test -f docs/GAP_ANALYSIS.md,gap report and markdown exist,true,proof_records/EF-002_GAP_REPORT.proof.json,state/EF-002_GAP_REPORT.heartbeat.json,logs/EF-002_GAP_REPORT.log,Use history/pre_execution_framework_manifest.json and remove only files added by this task unless a task-specific rollback is listed.,low,false,Documents gaps before fixes.
EF-003_APPLY_FRAMEWORK,,00-framework,Apply execution framework files,"Add scripts, schemas, templates, generated folders, proof ledger, and examples",lane_d_filesystem,framework-apply-agent,helper-files-01,gpt-5.3-spark,shell+python,workspace-write,filesystem,..,execution-framework|execution-templates,source/execution-framework-task-prompt.md,scripts/**|schemas/**|templates/**|examples/**|execution-templates/**,execution framework files,execution-framework/**|execution-templates/**|history/**,**/.env|**/secrets/**|**/private_keys/**|**/*.pem|**/*.key,EF-002_GAP_REPORT,EF-004_GENERATE_TASK_GRAPH,framework_bootstrap,false,1,,30,pending,apply-framework,python3|shell,python3 scripts/goal_to_task_graph.py --bootstrap-only,test -d scripts && test -d schemas && test -d templates,required framework directories exist,true,proof_records/EF-003_APPLY_FRAMEWORK.proof.json,state/EF-003_APPLY_FRAMEWORK.heartbeat.json,logs/EF-003_APPLY_FRAMEWORK.log,Use history/pre_execution_framework_manifest.json and remove only files added by this task unless a task-specific rollback is listed.,medium,false,Upgrade-only additive framework.
EF-004_GENERATE_TASK_GRAPH,,00-framework,Generate task graph,"Create task_graph.csv, normalized JSON, and index JSON",lane_a_planning,task-graph-agent,helper-graph-01,gpt-5.3-spark,python3,workspace-write,filesystem,..,execution-framework/generated,prompts/**|specs/**|expected-output/**|source/**,generated/task_graph.csv|generated/task_graph.normalized.json|generated/task_graph.index.json,task graph,execution-framework/generated/**,**/.env|**/secrets/**|**/private_keys/**|**/*.pem|**/*.key,EF-003_APPLY_FRAMEWORK,EF-005_VALIDATE_TASK_GRAPH,framework_bootstrap,false,1,,40,pending,task-graph,python3,python3 scripts/goal_to_task_graph.py,test -f generated/task_graph.csv && test -f generated/task_graph.normalized.json && test -f generated/task_graph.index.json,task graph files exist,true,proof_records/EF-004_GENERATE_TASK_GRAPH.proof.json,state/EF-004_GENERATE_TASK_GRAPH.heartbeat.json,logs/EF-004_GENERATE_TASK_GRAPH.log,Use history/pre_execution_framework_manifest.json and remove only files added by this task unless a task-specific rollback is listed.,medium,false,Includes all artifact and implementation tasks.
EF-005_VALIDATE_TASK_GRAPH,,00-framework,Validate task graph,Run required graph validator command,lane_e_verification,validator-agent,helper-verify-01,gpt-5.3-spark,python3,workspace-write,filesystem,..,execution-framework/generated,generated/task_graph.csv,generated/task_graph.validation_report.json,validation report,execution-framework/generated/**|execution-framework/proof_records/**,**/.env|**/secrets/**|**/private_keys/**|**/*.pem|**/*.key,EF-004_GENERATE_TASK_GRAPH,EF-006_TASK_GRAPH_TO_PACKETS,framework_verification,false,1,,50,pending,validate,python3,python3 scripts/validate_task_graph.py generated/task_graph.csv,test -f generated/task_graph.validation_report.json,validation_report.status == passed,true,proof_records/EF-005_VALIDATE_TASK_GRAPH.proof.json,state/EF-005_VALIDATE_TASK_GRAPH.heartbeat.json,logs/EF-005_VALIDATE_TASK_GRAPH.log,Use history/pre_execution_framework_manifest.json and remove only files added by this task unless a task-specific rollback is listed.,medium,false,Required missing-execution command.
EF-006_TASK_GRAPH_TO_PACKETS,,00-framework,Generate JSON execution packets,Run required packetizer command,lane_e_verification,packetizer-agent,helper-packet-01,gpt-5.3-spark,python3,workspace-write,filesystem,..,execution-framework/generated,generated/task_graph.csv,generated/execution_manifest.json|generated/execution_packets/*.json,execution packets,execution-framework/generated/**|execution-framework/proof_records/**,**/.env|**/secrets/**|**/private_keys/**|**/*.pem|**/*.key,EF-005_VALIDATE_TASK_GRAPH,EF-007_GOAL_LOOP,framework_verification,false,1,,60,pending,packetize,python3,python3 scripts/task_graph_to_packets.py generated/task_graph.csv,test -f generated/execution_manifest.json && test -d generated/execution_packets,manifest and packets exist,true,proof_records/EF-006_TASK_GRAPH_TO_PACKETS.proof.json,state/EF-006_TASK_GRAPH_TO_PACKETS.heartbeat.json,logs/EF-006_TASK_GRAPH_TO_PACKETS.log,Use history/pre_execution_framework_manifest.json and remove only files added by this task unless a task-specific rollback is listed.,medium,false,Required missing-execution command.
EF-007_GOAL_LOOP,,00-framework,Run /goal loop,Compute runnable path and status report,lane_e_verification,goal-loop-agent,helper-goal-01,gpt-5.3-spark,python3,workspace-write,filesystem,..,execution-framework,generated/task_graph.normalized.json|proof_records/proof_ledger.jsonl,state/goal_loop_state.json|generated/status_report.json,goal loop state,execution-framework/state/**|execution-framework/generated/**|execution-framework/proof_records/**,**/.env|**/secrets/**|**/private_keys/**|**/*.pem|**/*.key,EF-006_TASK_GRAPH_TO_PACKETS,EF-008_VERIFY_HISTORY_COMPLETENESS,framework_verification,false,1,,70,pending,goal-loop,python3,python3 scripts/goal_loop.py generated/task_graph.csv,test -f state/goal_loop_state.json && test -f generated/status_report.json,goal loop writes state and status,true,proof_records/EF-007_GOAL_LOOP.proof.json,state/EF-007_GOAL_LOOP.heartbeat.json,logs/EF-007_GOAL_LOOP.log,Use history/pre_execution_framework_manifest.json and remove only files added by this task unless a task-specific rollback is listed.,medium,false,Required missing-execution command.
EF-008_VERIFY_HISTORY_COMPLETENESS,,00-framework,Final history and completeness verification,Run required final verification command,lane_e_verification,final-verifier-agent,helper-final-01,gpt-5.3-spark,python3,workspace-write,filesystem,..,package-root,generated/**|proof_records/**|history/**|../README.md|../PACKAGE_MANIFEST.json|../specs/**|../prompts/**|../codex/**|../schemas/**|../examples/**|../helpers/**|../sql/**|../source/**|../expected-output/**,generated/final_verification_report.json|docs/FINAL_VERIFICATION.md,final verification,execution-framework/**|history/**,**/.env|**/secrets/**|**/private_keys/**|**/*.pem|**/*.key,EF-007_GOAL_LOOP,REL-401_HANDOFF,framework_verification,false,1,,80,pending,final-verify,python3,python3 scripts/verify_history_and_completeness.py,test -f generated/final_verification_report.json && test -f docs/FINAL_VERIFICATION.md,final_verification status is pass or pass_with_external_blocker,true,proof_records/EF-008_VERIFY_HISTORY_COMPLETENESS.proof.json,state/EF-008_VERIFY_HISTORY_COMPLETENESS.heartbeat.json,logs/EF-008_VERIFY_HISTORY_COMPLETENESS.log,Use history/pre_execution_framework_manifest.json and remove only files added by this task unless a task-specific rollback is listed.,medium,false,Required missing-execution command.
REQ-010_CONTRACT_LOCK,,01-contract,Lock migration artifact contract,Convert prior artifact research into executable contract rows,lane_a_planning,planning-agent,helper-plan-01,gpt-5.3-spark,codex-cli-background-shell,workspace-write,filesystem,..,package-root,source/previous-migration-artifact-context.md|prompts/**,generated/task_graph.index.json|expected contract manifest,contract manifest,${ENVCTL_REPO}/**|${NU_PLUGIN_REPO}/**|execution-framework/**|execution-templates/**,**/.env|**/secrets/**|**/private_keys/**|**/*.pem|**/*.key,EF-008_VERIFY_HISTORY_COMPLETENESS,REQ-020_ENVCTL_DB_SCHEMA|REQ-030_PLUGIN_PROTOCOL_MANIFEST|ART-100_SYSTEM_INVENTORY,contract,false,1,,100,pending,01-contract,codex|python3|shell,codex exec < generated/execution_packets/REQ-010_CONTRACT_LOCK.json,task-specific tests plus proof file exists,proof exists and verification output passes,true,proof_records/REQ-010_CONTRACT_LOCK.proof.json,state/REQ-010_CONTRACT_LOCK.heartbeat.json,logs/REQ-010_CONTRACT_LOCK.log,Use history/pre_execution_framework_manifest.json and remove only files added by this task unless a task-specific rollback is listed.,medium,false,Additive feature work; no downgrades.
REQ-020_ENVCTL_DB_SCHEMA,REQ-010_CONTRACT_LOCK,02-envctl-db,Implement envctl database migration tables,"Add/upgrade target registry, packages, recipes, runs, operations, events, evidence, validations, approvals, checkpoints, rollback handles, agents, and plugin sessions",lane_b_repo_a,envctl-db-agent,helper-envctl-db-01,gpt-5.3-spark,codex-cli-background-shell,workspace-write,repo_a,${ENVCTL_REPO},repo,sql/**|schemas/**|specs/envctl-db-automation-architecture.md,envctl database migrations and models,envctl database automation,${ENVCTL_REPO}/**|${NU_PLUGIN_REPO}/**|execution-framework/**|execution-templates/**,**/.env|**/secrets/**|**/private_keys/**|**/*.pem|**/*.key,REQ-010_CONTRACT_LOCK,REQ-041_TWO_REPO_INTEGRATION,shared_protocol,true,2,,110,pending,02-envctl-db,codex|python3|shell,codex exec < generated/execution_packets/REQ-020_ENVCTL_DB_SCHEMA.json,task-specific tests plus proof file exists,proof exists and verification output passes,true,proof_records/REQ-020_ENVCTL_DB_SCHEMA.proof.json,state/REQ-020_ENVCTL_DB_SCHEMA.heartbeat.json,logs/REQ-020_ENVCTL_DB_SCHEMA.log,Use history/pre_execution_framework_manifest.json and remove only files added by this task unless a task-specific rollback is listed.,high,false,Additive feature work; no downgrades.
